artists,title,link
Blue Wednesday,Discovery,https://lofigirl.com/wp-content/uploads/2022/10/Discovery.zip
no one's perfect,Discrete Landscapes,https://lofigirl.com/wp-content/uploads/2022/10/no-ones-perfect-Discrete-Landscapes.zip
Tibeauthetraveler,Distance Love,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Tibeauthetraverler-Distance-Love.zip
Softy,Distant Images,https://lofigirl.com/wp-content/uploads/2022/11/Distant-Images.zip
Purrple Cat,Distant Worlds II,https://lofigirl.com/wp-content/uploads/2022/11/Purrple-Cat-Distant-Worlds-II.zip
Purrple Cat,Distant Worlds III,https://lofigirl.com/wp-content/uploads/2023/01/Distant-World-III.zip
Purrple Cat,Distant Worlds,https://lofigirl.com/wp-content/uploads/2022/10/Distant-Worlds.zip
Late Era/Oatmello,Dove,https://lofigirl.com/wp-content/uploads/2022/10/Dove.zip
Chau Sara,Down Hill,https://lofigirl.com/wp-content/uploads/2023/10/down-hills.zip
Chris Mazuera/SLo Loris,Dozing,https://lofigirl.com/wp-content/uploads/2022/10/Dozing.zip
jhove,Dream Tapes,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Jhove-dream-tapes.zip
Living Room,Dreamcatcher,https://lofigirl.com/wp-content/uploads/2023/09/Dreamcatcher.zip
Dreamfield  Goson,Dreams of Angels,https://lofigirl.com/wp-content/uploads/2022/11/Goson-x-Dreamfield-Dreams-Of-Angels.zip
kyu,Dreamscapes,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Kayou-Dreamscapes.zip
Sleepermane,Dreamtime,https://lofigirl.com/wp-content/uploads/2022/10/Sleepermane-Dreamtime.zip
kainbeats  hevi,Drifting Away,https://lofigirl.com/wp-content/uploads/2022/10/Drifting-away.zip
Recalibration Machine  Less Gravity  Lawrence Walther,Dune Days,https://lofigirl.com/wp-content/uploads/2023/09/Dune-Days.zip
Claudia Lessing  Dario Lessing  kanisan,Edda,https://lofigirl.com/wp-content/uploads/2023/01/Edda.zip
Bcalm,Elements,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Bcalm-Elements.zip
KioKo,Enchanted Forest,https://lofigirl.com/wp-content/uploads/2023/11/Enchanted-Forest.zip
DaniSogen,Enchantments,https://lofigirl.com/wp-content/uploads/2022/11/MP3-DaniSogen-Enchantments.zip
Phlocalyst/Drxnk,End of the Road,https://lofigirl.com/wp-content/uploads/2023/04/End-of-the-road.zip
Hoogway,Equation Of Time,https://lofigirl.com/wp-content/uploads/2022/10/Hoogway-Equation-of-Time.zip
